,Test,Price,
428,URINE ABL/CREAT RATIO(Spot),700,
429,URINE AFB,250,
430,Urine Bense Jones Protein,300,
431,URINE BSBP,100,
432,Urine Cloride,250,
433,Urine Potassium,250,
434,Urine Screen for Amphetamine,800,
435,Urine Screen for Cannabinoids,800,
436,Urine Screen for Opiates,800,
437,Urine Sodium,250,
438,USG ABDOMEN,1200,
439,Vaccination Titer MMR,1500,
440,VALPROIC ACID,750,
441,Varicella Zoster Vaccination T,1500,
442,varicella-zoster virus IgG,850,
443,varicella-zoster virus IgM,850,
444,Variconazole Level,5500,
445,VDRL/RPR,300,
446,VISIT,100,
447,VISIT,20,
448,VISIT,30,
449,VISIT,40,
450,VISIT,60,
451,VISIT,50,
452,VISTI ECG MER,150,
453,Weil�Felix test,1200,
454,Widal,300,
455,x Comprehensive Check Up,3500,
456,x Health Check (Dr AJP),700,
457,X RAY CHEST,500,
458,X RAY general,500,
459,XCBC ESR,300,
460,Dengue NS1Agb Rapid,700,
461,DENGUE Rapid,1500,
462,APOLIPOPROTEIN A 1,600,
